,coords_first,coords_last,full_street,street_width,bike_lane,elevation_x,elevation_y,distance,elevation_diff,steep
4715,"(40.73553005, -73.97929118)","(40.73612869, -73.97884941)",FIRST AVE,25,0,3.714547966368,3.6801552,76.35099062133301,-0.034392766367999705,0.0004504560594186989
4716,"(40.73553459, -74.00169304)","(40.73512781, -74.00157447)",WAVERLY PL,22,0,7.429012316952,6.980194316952,46.373883512682326,-0.44881800000000016,0.009678249178274178
4717,"(40.73553459, -74.00169304)","(40.73506988, -74.00197135)",SEVENTH AVE S,60,0,7.429012316952,7.408438320000001,56.80868871189717,-0.020573996951998907,0.0003621628560437128
4718,"(40.73553896, -74.0033416)","(40.73576169, -74.00176916)",PERRY ST,24,0,8.602736156952,7.565623676952,134.93278045420163,-1.0371124800000002,0.007686141770064636
4719,"(40.73553896, -74.0033416)","(40.73617852, -74.00352732)",W  4 ST,22,0,8.602736156952,8.28528696,72.89858548123266,-0.31744919695199947,0.00435466881636167
4720,"(40.7356, -73.97946483)","(40.73621569, -73.97899715)",FIRST AVE,70,1,4.098340796952001,3.7543435169520003,79.08029180929164,-0.3439972800000004,0.004349974843663665
4721,"(40.7356, -73.97946483)","(40.73660268, -73.981841)",E  21 ST,32,1,4.098340796952001,6.16439712,229.41251584391782,2.0660563230479996,0.009005857049463044
4722,"(40.73569913, -73.99701142)","(40.73467267, -73.99458521)",W  12 ST,32,0,8.101591019544001,10.181904956952,234.39064903610105,2.0803139374079986,0.008875413528496126
4723,"(40.73572292, -74.00679907)","(40.7364317, -74.00662032)",GREENWICH ST,38,1,6.125596076952,5.189341916952,80.32871218444228,-0.9362541599999998,0.011655286566156721
4724,"(40.73572292, -74.00679907)","(40.73550555, -74.00837038)",W  11 ST,28,0,6.125596076952,4.98095016,134.73072037428398,-1.1446459169520002,0.008495804919413751
4725,"(40.73576169, -74.00176916)","(40.73579732, -74.00155256)",PERRY ST,24,0,7.565623676952,7.37993952,18.695734284483926,-0.18568415695200002,0.009931899658314257
4726,"(40.73576169, -74.00176916)","(40.73553459, -74.00169304)",WAVERLY PL,30,0,7.565623676952,7.429012316952,26.083274437012584,-0.13661135999999985,0.005237508056356074
4727,"(40.73578993, -73.9853608)","(40.73483805, -73.98311381)",E  18 ST,30,0,9.150614156952,6.4768780769520005,217.14377326480994,-2.6737360800000003,0.012313206313953756
4728,"(40.73578993, -73.9853608)","(40.73637638, -73.98493339)",3 AVE,70,0,9.150614156952,8.260506716952001,74.57641560028796,-0.8901074399999995,0.011935508469202463
4729,"(40.73578993, -73.9853608)","(40.73519968, -73.9857944)",3 AVE,70,0,9.150614156952,9.507321596952,75.19970347291606,0.3567074399999992,0.004743468704347631
4730,"(40.73579732, -74.00155256)","(40.73553459, -74.00169304)",SEVENTH AVE S,60,0,7.37993952,7.429012316952,31.556225354396783,0.049072796952000175,0.001555090838681781
4731,"(40.73579732, -74.00155256)","(40.73592645, -74.00072171)",PERRY ST,24,0,7.37993952,6.889272476952001,71.54095540739195,-0.49066704304799913,0.006858547530626088
4732,"(40.7358061, -73.97995161)","(40.73522528, -73.98038789)",ALLEY,12,0,4.41521088,4.743419516952,74.39579249184395,0.32820863695199964,0.004411655900943341
4733,"(40.73584501, -74.00596018)","(40.73572292, -74.00679907)",W  11 ST,28,0,7.0189344,6.125596076952,72.053581873401,-0.8933383230479999,0.012398250022012867
4734,"(40.73584501, -74.00596018)","(40.73653385, -74.00582871)",HUDSON ST,50,1,7.0189344,5.986515836952001,77.47902470693654,-1.0324185630479992,0.013325136279826826
4735,"(40.73587893, -73.98738719)","(40.73646434, -73.98696116)",IRVING PL,36,0,11.202375360000001,10.377159840000001,74.41878980970927,-0.8252155200000004,0.01108880596029709
4736,"(40.73587893, -73.98738719)","(40.73529228, -73.98781645)",IRVING PL,36,0,11.202375360000001,11.489161676952,74.67157852777156,0.2867863169519982,0.0038406355216575173
4737,"(40.73587893, -73.98738719)","(40.73653252, -73.98895641)",E  17 ST,30,0,11.202375360000001,12.34330272,151.04125571344105,1.1409273599999992,0.007553746521841641
4738,"(40.73588819, -73.99121076)","(40.7352153, -73.99171499)",UNION SQ W,24,0,12.57443256,12.185416320000002,86.13844517715651,-0.38901623999999835,0.004516174388798505
